School Name,Udise Code,State,District,Block,Cluster,Village,PINCODE,School Category,School Type,Class To,Class From,State Management,National Management,Location,blank,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,Total 1-12,Total with primary,XXXX,Teacher,pta nhi
P.M. HS DABAUDA KHURD,06150201503,Haryana,JHAJJAR,BAHADURGARH,GSSS BUPANIA,DABAUDA KHURD,124507,6-Pr. Up Pr. and Secondary Only,3-Co-educational,1,10,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRAM BHARTI MIDDLE SCHOOL, DABODHA KHURD",06150201504,Haryana,JHAJJAR,BAHADURGARH,GSSS BUPANIA,DABAUDA KHURD,124507,2-Primary with Upper Primary,3-Co-educational,1,8,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,11,24,18,15,16,14,13,15,0,0,0,0,126,126,24,6,6
GPS DESHALPUR,06150201801,Haryana,JHAJJAR,BAHADURGARH,GGSSS NUNA MAJRA,DESHALPUR,124507,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,7,5,6,6,4,0,0,0,0,0,0,0,28,28,5,2,2
"S.D.M. PUBLIC SCHOOL,DESHALPUR",06150201802,Haryana,JHAJJAR,BAHADURGARH,GGSSS NUNA MAJRA,DESHALPUR,124507,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,26,15,29,27,26,22,29,22,23,40,17,9,285,285,15,28,28
GGPS DULHERA,06150202001,Haryana,JHAJJAR,BAHADURGARH,GSSS DULHERA,DULHERA,124507,1-Primary,2-Girls,1,5,1-Department of Education,1-Department of Education,,1-Rural,11,22,17,27,36,0,0,0,0,0,0,0,113,113,22,3,3
GPS DULHERA,06150202002,Haryana,JHAJJAR,BAHADURGARH,GSSS DULHERA,DULHERA,124507,1-Primary,1-Boys,1,5,1-Department of Education,1-Department of Education,,1-Rural,16,13,17,19,17,0,0,0,0,0,0,0,82,82,13,3,3
GSSS DULHERA,06150202003,Haryana,JHAJJAR,BAHADURGARH,GSSS DULHERA,DULHERA,124507,5-Up. Pr. Secondary and Higher Sec,1-Boys,6,12,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,23,16,19,27,38,57,19,199,199,0,11,11
GGSSS DULHERA,06150202004,Haryana,JHAJJAR,BAHADURGARH,GSSS DULHERA,DULHERA,124507,5-Up. Pr. Secondary and Higher Sec,2-Girls,6,12,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,31,35,26,33,40,66,45,276,276,0,13,13
JAI MODERN SR. SEC. SCHOOL DULHERA,06150202005,Haryana,JHAJJAR,BAHADURGARH,GSSS DULHERA,DULHERA,124507,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,29,44,39,34,44,40,44,44,33,59,94,103,607,607,44,12,12
JYOTI SR.SEC.SC. DULHERA,06150202006,Haryana,JHAJJAR,BAHADURGARH,GSSS DULHERA,DULHERA,124507,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,11,16,9,15,11,7,7,12,13,17,22,13,153,164,16,12,12
JIGYASA PRIMARY SCHOOL DULHERA,06150202007,Haryana,JHAJJAR,BAHADURGARH,GSSS DULHERA,DULHERA,124507,1-Primary,3-Co-educational,1,5,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,0,8,4,9,4,0,0,0,0,0,0,0,25,66,8,4,4
CSM SR SEC PUBLIC SCHOOL DULHERA,06150202008,Haryana,JHAJJAR,BAHADURGARH,GSSS DULHERA,DULHERA,124507,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,28,14,22,32,40,28,30,33,33,21,19,23,323,323,14,12,12
GPS GOELA KALAN,06150202101,Haryana,JHAJJAR,BAHADURGARH,GSSS DULHERA,GOELA KALAN,124507,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,14,8,10,9,20,0,0,0,0,0,0,0,61,61,8,2,2
GMS GOELA KALAN,06150202102,Haryana,JHAJJAR,BAHADURGARH,GSSS DULHERA,GOELA KALAN,124507,4-Upper Primary only,3-Co-educational,6,8,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,9,12,8,0,0,0,0,29,29,0,3,3
AMRIT GHAN SR SEC SCHOOL GOYIA KALAN,06150202103,Haryana,JHAJJAR,BAHADURGARH,GSSS DULHERA,GOELA KALAN,124507,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,21,22,30,30,29,27,31,31,26,27,28,24,326,326,22,15,15
GPS GUBHANA,06150202201,Haryana,JHAJJAR,BAHADURGARH,GSSS BADLI,GUBHANA,124507,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,15,18,15,20,24,0,0,0,0,0,0,0,92,92,18,3,3
GSSS GUBHANA,06150202202,Haryana,JHAJJAR,BAHADURGARH,GSSS BADLI,GUBHANA,124507,5-Up. Pr. Secondary and Higher Sec,3-Co-educational,6,12,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,25,25,38,28,28,32,28,204,204,0,13,13
L.R. GREEN FIELD H/S GUBHANA,06150202204,Haryana,JHAJJAR,BAHADURGARH,GSSS BADLI,GUBHANA,124507,6-Pr. Up Pr. and Secondary Only,3-Co-educational,1,10,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,35,42,55,51,43,45,46,38,26,24,0,0,405,477,42,20,20
GPS ISHARHERI,06150202301,Haryana,JHAJJAR,BAHADURGARH,GSSS PARNALA,ISHARHERI,124507,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,19,15,15,14,19,0,0,0,0,0,0,0,82,82,15,4,4
GHS ISHARHERI,06150202303,Haryana,JHAJJAR,BAHADURGARH,GSSS PARNALA,ISHARHERI,124507,7-Upper Pr. and Secondary,3-Co-educational,6,10,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,8,9,14,9,17,0,0,57,57,0,12,12
"GOLDEN VELLY MIDDLE SCHOOL, JASSOUR KHERI",06150202607,Haryana,JHAJJAR,BAHADURGARH,GSSS SAN KHOL,JASSAUR KHERI,124507,6-Pr. Up Pr. and Secondary Only,3-Co-educational,1,10,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,29,52,34,30,32,26,38,35,31,32,0,0,339,394,52,17,17
SDM HIGH SCHOOL KANONDA,06150202703,Haryana,JHAJJAR,BAHADURGARH,GSSS KANONDA,KANONDA,124507,6-Pr. Up Pr. and Secondary Only,3-Co-educational,1,10,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,18,21,19,29,30,41,30,27,24,27,0,0,266,308,21,9,9
ARYA PRIMARY SCHOOL,06150202704,Haryana,JHAJJAR,BAHADURGARH,GSSS KANONDA,KANONDA,124507,1-Primary,3-Co-educational,1,5,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,18,16,11,16,6,0,0,0,0,0,0,0,67,102,16,7,7
B.S.P.S KANONDA,06150202705,Haryana,JHAJJAR,BAHADURGARH,GSSS KANONDA,KANONDA,124507,1-Primary,3-Co-educational,1,5,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,10,12,5,5,5,0,0,0,0,0,0,0,37,37,12,6,6
GPS KASSAR,06150202801,Haryana,JHAJJAR,BAHADURGARH,GSSS BAHADURGARH,KASSAR,124507,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,35,20,23,39,20,0,0,0,0,0,0,0,137,137,20,3,3
GSSS KASSAR,06150202803,Haryana,JHAJJAR,BAHADURGARH,GSSS BAHADURGARH,KASSAR,124507,5-Up. Pr. Secondary and Higher Sec,3-Co-educational,6,12,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,29,31,34,43,38,34,37,246,246,0,13,13
