School Name,Udise Code,State,District,Block,Cluster,Village,PINCODE,School Category,School Type,Class To,Class From,State Management,National Management,Location,blank,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,Total 1-12,Total with primary,XXXX,Teacher,pta nhi
"DAV Public School,Ishwar Colony, Bawana, Delhi",07010302811,Delhi,NORTH WEST A,DOE ZONE-10,"1355001-North DMC Pratibha Vidyalaya Old (Boys) , Bawana, Delhi",030-N (Bawana),110039,2-Primary with Upper Primary,3-Co-educational,1,8,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,17,37,40,43,35,31,38,31,0,0,0,0,272,316,37,14,14
"Marigold Public School,Kh No. 559, Katewara, Delhi",07010302812,Delhi,NORTH WEST A,DOE ZONE-10,"1355001-North DMC Pratibha Vidyalaya Old (Boys) , Bawana, Delhi",029-N (Nangal Thakran),110039,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,16,29,59,67,63,80,93,76,34,94,58,76,745,745,29,38,38
"Adarsh Public School,VPO. Harewali, Delhi",07010302813,Delhi,NORTH WEST A,DOE ZONE-10,"1355001-North DMC Pratibha Vidyalaya Old (Boys) , Bawana, Delhi",030-N (Bawana),110039,2-Primary with Upper Primary,3-Co-educational,1,8,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,23,20,20,24,19,21,11,27,0,0,0,0,165,165,20,14,14
"Maharshi Dayanand Vidya Bhawan,158/3, Main Kanjhawala Road, Ishwar Colony Extn. Village Bawana, Delhi",07010302814,Delhi,NORTH WEST A,DOE ZONE-10,"1355001-North DMC Pratibha Vidyalaya Old (Boys) , Bawana, Delhi",030-N (Bawana),110039,6-Pr. Up Pr. and Secondary Only,3-Co-educational,1,10,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,34,42,51,45,59,47,62,87,44,38,0,0,509,509,42,16,16
"Shiva Modern School,Daryiapur Kalan, Delhi",07010302815,Delhi,NORTH WEST A,DOE ZONE-10,"1355001-North DMC Pratibha Vidyalaya Old (Boys) , Bawana, Delhi",029-N (Nangal Thakran),110039,6-Pr. Up Pr. and Secondary Only,3-Co-educational,1,10,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,40,50,52,53,47,44,34,34,28,0,0,0,382,437,50,17,17
"Vidya Jyoti Shiksha Sadan,Vill. Daryapur Kalan, Delhi",07010302816,Delhi,NORTH WEST A,DOE ZONE-10,"1355001-North DMC Pratibha Vidyalaya Old (Boys) , Bawana, Delhi",029-N (Nangal Thakran),110039,2-Primary with Upper Primary,3-Co-educational,1,8,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,30,31,42,40,28,30,29,35,0,0,0,0,265,265,31,12,12
"Shanti Vidya Niketan,116-117, Ishwar Colony, Kanjhawla Road, Bawana, Delhi",07010302817,Delhi,NORTH WEST A,DOE ZONE-10,"1355001-North DMC Pratibha Vidyalaya Old (Boys) , Bawana, Delhi",029-N (Nangal Thakran),110039,2-Primary with Upper Primary,3-Co-educational,1,8,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,29,50,49,50,42,38,35,52,0,0,0,0,345,345,50,13,13
"Maharishi Dayanand Public School,Ishwar Colony, Bawana, Delhi",07010302818,Delhi,NORTH WEST A,DOE ZONE-10,"1355001-North DMC Pratibha Vidyalaya Old (Boys) , Bawana, Delhi",030-N (Bawana),110039,2-Primary with Upper Primary,3-Co-educational,1,8,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,88,68,58,29,55,25,41,40,0,0,0,0,404,525,68,13,13
"North DMC Primary School (Co.ed) , Ghoga, Delhi",07010400202,Delhi,NORTH WEST A,DOE ZONE-10,"1310022-Govt. Co-ed. Sr. Sec. School, Alipur Road, Bhorgarh Village, Narela, Delhi",005-N (Bankner),110039,1-Primary,3-Co-educational,1,5,3-Local body,3-Local body,,2-Urban,45,44,58,63,63,0,0,0,0,0,0,0,273,326,44,6,6
"North DMC Primary School (Co.ed) , Barwala, Delhi",07010402701,Delhi,NORTH WEST A,DOE ZONE-10,"1310411-Govt. Girls Sr. Sec. School, Shahbad Daulatpur, Delhi",031-N (Pooth Khurd),110039,1-Primary,3-Co-educational,1,5,3-Local body,3-Local body,,2-Urban,96,101,110,118,151,0,0,0,0,0,0,0,576,649,101,14,14
"North DMC Primary School (Co.ed) , Sultan Pur Dabas, Delhi",07010402709,Delhi,NORTH WEST A,DOE ZONE-10,"1310411-Govt. Girls Sr. Sec. School, Shahbad Daulatpur, Delhi",031-N (Pooth Khurd),110039,1-Primary,3-Co-educational,1,5,3-Local body,3-Local body,,2-Urban,9,25,27,26,31,0,0,0,0,0,0,0,118,133,25,5,5
"North DMC Primary School New (Co.ed) , Pooth Khurd , Delhi",07010402710,Delhi,NORTH WEST A,DOE ZONE-10,"1310411-Govt. Girls Sr. Sec. School, Shahbad Daulatpur, Delhi",031-N (Pooth Khurd),110039,1-Primary,3-Co-educational,1,5,3-Local body,3-Local body,,2-Urban,60,79,129,133,143,0,0,0,0,0,0,0,544,604,79,17,17
"North DMC Primary School Old (Co.ed) , Pooth Khurd , Delhi",07010402711,Delhi,NORTH WEST A,DOE ZONE-10,"1310411-Govt. Girls Sr. Sec. School, Shahbad Daulatpur, Delhi",031-N (Pooth Khurd),110039,1-Primary,3-Co-educational,1,5,3-Local body,3-Local body,,2-Urban,69,114,166,177,201,0,0,0,0,0,0,0,727,783,114,20,20
"North DMC Primary School (Boys) , Bawana JJ Colony B1 Block, Delhi",07010402801,Delhi,NORTH WEST A,DOE ZONE-10,"1355001-North DMC Pratibha Vidyalaya Old (Boys) , Bawana, Delhi",030-N (Bawana),110039,1-Primary,1-Boys,1,5,3-Local body,3-Local body,,2-Urban,31,46,79,77,98,0,0,0,0,0,0,0,331,331,46,7,7
"North DMC Primary School (Girls) , Bawana JJ Colony B1 Block, Delhi",07010402802,Delhi,NORTH WEST A,DOE ZONE-10,"1355001-North DMC Pratibha Vidyalaya Old (Boys) , Bawana, Delhi",030-N (Bawana),110039,1-Primary,2-Girls,1,5,3-Local body,3-Local body,,2-Urban,53,64,84,91,99,0,0,0,0,0,0,0,391,455,64,13,13
